customer_id,company_name,industry,company_size_segment,region,country,signup_date,churn_date,initial_plan,contract_type,account_owner,risk_profile,power_user_flag,underpriced_flag,planned_upgrade_month
CUST-0083,Hill-Rodriguez,Technology,SMB,North America,Canada,2024-12-11,,Starter,Monthly,Avery Chen,Low,False,False,
CUST-0084,"Good, Coleman and Freeman",Media,SMB,North America,United States,2025-06-07,,Starter,Monthly,Avery Chen,Low,False,False,
CUST-0085,"Jacobs, Woodward and Sanchez",Logistics,Mid-Market,North America,United States,2024-07-16,,Starter,Annual,Sofia Garcia,Medium,True,False,
CUST-0086,Mullen Group,Logistics,SMB,North America,Canada,2025-12-23,2026-06-03,Professional,Annual,Sofia Garcia,Medium,False,False,
CUST-0087,"Jensen, Stanley and Brown",Logistics,SMB,Europe,Germany,2024-08-22,,Starter,Annual,Sofia Garcia,Low,False,False,
CUST-0088,Ramirez-Orr,Healthcare,SMB,North America,United States,2024-04-05,,Starter,Annual,Maya Patel,Medium,False,False,
CUST-0089,Anderson-Fisher,Professional Services,SMB,North America,Canada,2026-01-12,,Starter,Monthly,Jordan Lee,Medium,False,False,
CUST-0090,Mendoza-Glass,Logistics,SMB,Europe,Germany,2025-05-31,,Starter,Monthly,Jordan Lee,High,False,False,2026-01-01
CUST-0091,Williams and Sons,Professional Services,SMB,North America,United States,2025-06-09,,Professional,Monthly,Jordan Lee,Low,False,False,
CUST-0092,"King, Whitehead and Thompson",Logistics,SMB,North America,United States,2025-03-09,,Starter,Monthly,Maya Patel,Medium,False,False,
CUST-0093,"Guerrero, Jarvis and Burgess",Media,Mid-Market,Europe,France,2026-02-24,,Professional,Annual,Avery Chen,Low,False,False,
CUST-0094,Clark LLC,Retail,SMB,APAC,India,2024-09-30,2025-12-26,Professional,Monthly,Maya Patel,High,False,False,
CUST-0095,"Hammond, Larson and Mendoza",Hospitality,Enterprise,LATAM,Mexico,2025-01-27,,Enterprise,Annual,Jordan Lee,High,False,False,
CUST-0096,Beltran-Ford,Hospitality,Mid-Market,Europe,Netherlands,2025-12-08,,Professional,Annual,Maya Patel,Low,False,False,
CUST-0097,Sullivan-Johnson,Media,SMB,Europe,France,2025-08-28,,Starter,Monthly,Avery Chen,High,False,False,
CUST-0098,Hill-Smith,Media,Mid-Market,Europe,France,2025-12-13,,Professional,Monthly,Jordan Lee,Low,False,False,
CUST-0099,Olson and Sons,Healthcare,SMB,LATAM,Mexico,2025-07-15,,Professional,Monthly,Maya Patel,Medium,False,False,
CUST-0100,"Palmer, Johnson and Lucas",Professional Services,SMB,Europe,Germany,2025-01-19,,Starter,Monthly,Sofia Garcia,Low,False,False,
CUST-0101,"Castro, Young and Wong",Education,Enterprise,Europe,France,2025-02-18,2025-11-26,Enterprise,Annual,Noah Williams,Medium,False,False,
CUST-0102,Gonzalez Group,Professional Services,Enterprise,APAC,Japan,2024-06-15,,Enterprise,Monthly,Maya Patel,High,False,False,
CUST-0103,Ware-Garcia,Media,SMB,North America,Canada,2024-09-12,,Starter,Monthly,Jordan Lee,High,False,False,2026-02-01
CUST-0104,Wagner Group,Financial Services,Enterprise,North America,United States,2025-11-29,,Enterprise,Annual,Noah Williams,Low,False,False,
CUST-0105,Hall Group,Logistics,Mid-Market,APAC,Singapore,2025-08-30,,Professional,Annual,Ethan Kim,Low,False,False,
CUST-0106,"Hernandez, Frost and Edwards",Healthcare,SMB,Europe,Netherlands,2025-01-23,,Starter,Annual,Ethan Kim,High,False,False,
CUST-0107,"Scott, Aguilar and Bradley",Professional Services,SMB,LATAM,Mexico,2024-05-11,,Starter,Monthly,Noah Williams,Low,False,False,
CUST-0108,Knapp-Ayala,Financial Services,Enterprise,Europe,United Kingdom,2025-06-05,2026-01-25,Professional,Monthly,Avery Chen,Medium,False,False,
CUST-0109,"Chandler, Foster and Lee",Technology,Mid-Market,North America,United States,2024-08-22,,Professional,Monthly,Maya Patel,High,False,False,
CUST-0110,Lewis LLC,Hospitality,SMB,Europe,France,2024-09-19,,Starter,Annual,Sofia Garcia,Low,False,False,
CUST-0111,"Cole, Rogers and Nelson",Hospitality,Mid-Market,North America,United States,2024-06-17,,Professional,Annual,Sofia Garcia,Medium,False,False,
CUST-0112,Cooper-Jackson,Healthcare,SMB,Europe,Netherlands,2025-03-31,,Starter,Annual,Jordan Lee,Low,True,False,
CUST-0113,Wilson-Berger,Logistics,SMB,LATAM,Mexico,2025-12-16,2026-06-07,Starter,Monthly,Sofia Garcia,High,False,False,
CUST-0114,Ruiz-Dawson,Hospitality,Enterprise,APAC,Australia,2025-03-20,,Enterprise,Annual,Avery Chen,Low,True,False,
CUST-0115,Olson-Barron,Media,SMB,Europe,Germany,2025-09-11,,Starter,Annual,Noah Williams,Medium,False,False,
CUST-0116,Glover-Scott,Professional Services,Mid-Market,North America,United States,2024-07-21,,Professional,Annual,Sofia Garcia,Low,False,False,
CUST-0117,Vazquez-Davis,Media,SMB,North America,Canada,2025-10-13,,Starter,Monthly,Ethan Kim,Low,True,False,2026-04-01
CUST-0118,Schaefer LLC,Manufacturing,Enterprise,North America,United States,2025-06-06,,Professional,Monthly,Noah Williams,Medium,False,False,
CUST-0119,Powell Group,Healthcare,Mid-Market,North America,Canada,2024-12-25,2026-03-29,Starter,Annual,Noah Williams,Medium,False,False,
CUST-0120,Page LLC,Healthcare,SMB,North America,Canada,2024-12-26,,Starter,Monthly,Maya Patel,Low,False,False,
CUST-0121,"Schmidt, Brown and Becker",Media,Enterprise,North America,Canada,2026-01-15,,Enterprise,Annual,Jordan Lee,Medium,True,True,
CUST-0122,Ball PLC,Manufacturing,SMB,LATAM,Brazil,2025-03-16,,Starter,Monthly,Ethan Kim,Low,False,False,
CUST-0123,Walker-Erickson,Retail,SMB,Europe,Germany,2024-11-01,,Starter,Annual,Noah Williams,High,False,False,
CUST-0124,Bonilla Inc,Financial Services,SMB,North America,Canada,2024-11-26,,Starter,Annual,Maya Patel,Low,True,False,
CUST-0125,Alexander LLC,Media,SMB,North America,Canada,2024-07-06,2025-10-15,Starter,Monthly,Ethan Kim,High,False,False,
CUST-0126,White LLC,Professional Services,Mid-Market,North America,United States,2025-02-13,,Professional,Monthly,Noah Williams,Low,False,False,
CUST-0127,Mata-Clark,Healthcare,Mid-Market,Europe,United Kingdom,2025-07-29,,Professional,Monthly,Ethan Kim,Medium,False,False,
CUST-0128,Shah Inc,Financial Services,Mid-Market,Europe,France,2025-10-17,,Starter,Monthly,Maya Patel,Medium,False,False,
CUST-0129,"Williams, Bryant and Frye",Media,SMB,North America,United States,2026-03-03,,Starter,Monthly,Avery Chen,Medium,False,False,
CUST-0130,Hernandez Ltd,Retail,SMB,Europe,France,2024-04-07,,Starter,Annual,Avery Chen,Low,False,False,
CUST-0131,Cook LLC,Healthcare,SMB,APAC,India,2026-02-22,,Professional,Monthly,Sofia Garcia,Low,False,False,
CUST-0132,Perkins-Lambert,Hospitality,SMB,Europe,Germany,2025-10-23,,Professional,Annual,Jordan Lee,Medium,False,False,
CUST-0133,Fuller-Thompson,Logistics,SMB,North America,United States,2026-04-09,,Professional,Monthly,Avery Chen,Low,False,False,
CUST-0134,"Cook, Conway and Gray",Media,SMB,North America,Canada,2026-01-16,,Professional,Monthly,Avery Chen,Medium,True,False,
CUST-0135,"Nguyen, Acevedo and Manning",Manufacturing,Mid-Market,Europe,United Kingdom,2024-11-01,,Professional,Annual,Noah Williams,Low,False,False,
CUST-0136,"Townsend, Barber and Reese",Financial Services,SMB,APAC,India,2024-10-14,,Starter,Annual,Ethan Kim,Low,False,False,
CUST-0137,Thompson PLC,Hospitality,SMB,APAC,Australia,2024-05-26,,Professional,Monthly,Sofia Garcia,Medium,False,False,
CUST-0138,"Jackson, Austin and Thomas",Professional Services,Enterprise,Europe,Germany,2025-03-29,,Professional,Monthly,Noah Williams,Low,False,False,
CUST-0139,Nelson-Young,Media,Enterprise,North America,United States,2026-03-13,,Enterprise,Monthly,Maya Patel,Low,False,False,
CUST-0140,Gross PLC,Media,Mid-Market,Europe,France,2024-09-20,,Professional,Monthly,Jordan Lee,Low,False,False,
CUST-0141,Arnold-Roberts,Logistics,Mid-Market,APAC,Singapore,2026-04-11,,Professional,Annual,Noah Williams,Medium,False,False,
CUST-0142,"Ramsey, Ellis and Pearson",Manufacturing,SMB,North America,Canada,2024-03-10,,Starter,Annual,Jordan Lee,Low,False,False,
CUST-0143,"Leon, Williams and Keller",Hospitality,Enterprise,North America,Canada,2025-09-03,,Enterprise,Annual,Maya Patel,Low,False,False,
CUST-0144,Brown-Walls,Logistics,SMB,Europe,Germany,2024-08-23,2025-09-11,Starter,Monthly,Ethan Kim,Low,False,False,
CUST-0145,Rice Inc,Retail,SMB,Europe,Germany,2026-03-22,,Starter,Annual,Jordan Lee,Low,False,False,
CUST-0146,Martinez-Hart,Financial Services,Mid-Market,North America,United States,2024-08-05,,Professional,Monthly,Noah Williams,Low,False,False,2026-02-01
CUST-0147,"Hall, Tucker and Webb",Professional Services,SMB,APAC,India,2024-09-05,2025-07-24,Starter,Annual,Sofia Garcia,High,False,False,
CUST-0148,Simpson-Burgess,Financial Services,SMB,North America,Canada,2026-03-18,,Starter,Annual,Noah Williams,Low,False,False,
CUST-0149,Duran-Orozco,Healthcare,SMB,APAC,India,2025-04-03,,Starter,Annual,Jordan Lee,Low,False,False,
CUST-0150,"Orozco, Romero and Garcia",Media,Mid-Market,North America,United States,2025-06-28,2026-02-13,Starter,Monthly,Noah Williams,Low,False,False,
CUST-0151,"Abbott, Green and Jenkins",Technology,Mid-Market,North America,United States,2025-09-16,,Professional,Annual,Noah Williams,Medium,False,False,
CUST-0152,Grimes-Dixon,Healthcare,Enterprise,North America,United States,2024-08-27,,Professional,Monthly,Ethan Kim,Low,False,False,
CUST-0153,Johnson-Gentry,Financial Services,SMB,North America,United States,2025-07-05,,Starter,Monthly,Ethan Kim,Medium,False,False,2026-01-01
CUST-0154,"Butler, Blanchard and Keller",Media,SMB,APAC,Japan,2024-11-01,,Starter,Monthly,Avery Chen,Low,False,False,
CUST-0155,Evans-Wright,Manufacturing,Mid-Market,North America,Canada,2024-10-22,,Professional,Annual,Jordan Lee,Low,True,True,2026-01-01
CUST-0156,"Chavez, Lee and Pope",Education,Mid-Market,Europe,France,2025-03-31,2026-01-11,Starter,Annual,Maya Patel,Low,True,False,2025-10-01
CUST-0157,"Hale, Levy and Dickerson",Manufacturing,Enterprise,North America,United States,2024-10-08,,Professional,Annual,Jordan Lee,Low,False,False,
CUST-0158,"Chapman, Kane and West",Financial Services,Enterprise,North America,United States,2024-08-22,,Enterprise,Annual,Jordan Lee,Low,True,False,
CUST-0159,"Potter, Rose and Holmes",Healthcare,SMB,LATAM,Mexico,2024-07-02,,Starter,Annual,Avery Chen,Medium,False,False,
CUST-0160,Jones Ltd,Logistics,Mid-Market,Europe,Netherlands,2024-07-17,,Enterprise,Monthly,Ethan Kim,Low,False,False,
CUST-0161,White-Mcclain,Hospitality,SMB,North America,United States,2024-10-15,,Starter,Monthly,Maya Patel,Low,False,False,
CUST-0162,"Gonzales, Downs and Nelson",Media,SMB,North America,United States,2025-11-08,,Starter,Monthly,Jordan Lee,High,False,False,
CUST-0163,Hunter and Sons,Hospitality,SMB,North America,Canada,2025-07-10,,Starter,Annual,Jordan Lee,Low,False,False,
CUST-0164,"Gates, Abbott and Tanner",Retail,Mid-Market,North America,United States,2025-05-04,,Professional,Monthly,Jordan Lee,Medium,False,False,
CUST-0165,Wilkins-Mendoza,Media,SMB,Europe,Germany,2024-08-11,,Starter,Annual,Jordan Lee,Medium,False,False,
CUST-0166,Nelson-Hughes,Retail,Enterprise,APAC,Singapore,2024-07-11,,Enterprise,Annual,Avery Chen,Medium,False,False,
CUST-0167,Morgan Ltd,Professional Services,SMB,North America,United States,2024-06-04,,Starter,Annual,Ethan Kim,Low,False,False,
CUST-0168,"Martinez, Ortiz and Owens",Financial Services,Mid-Market,North America,Canada,2024-08-09,,Professional,Monthly,Avery Chen,Medium,False,False,
CUST-0169,Griffin PLC,Professional Services,Mid-Market,Europe,United Kingdom,2024-08-02,,Starter,Annual,Sofia Garcia,Medium,False,False,
CUST-0170,Smith Ltd,Hospitality,SMB,APAC,India,2025-12-27,,Starter,Monthly,Jordan Lee,Low,False,False,
CUST-0171,Carroll-Miller,Education,Mid-Market,North America,United States,2024-11-21,,Professional,Annual,Ethan Kim,Medium,False,False,
CUST-0172,"Vega, White and Watson",Hospitality,SMB,North America,United States,2024-11-09,,Starter,Annual,Jordan Lee,Medium,False,False,
CUST-0173,Kline-Anderson,Financial Services,SMB,North America,United States,2025-02-25,2025-08-22,Professional,Annual,Maya Patel,Low,False,False,
CUST-0174,"Edwards, Callahan and Taylor",Manufacturing,SMB,Europe,Germany,2025-09-07,,Starter,Monthly,Jordan Lee,Low,False,False,2026-03-01
CUST-0175,"Smith, Keith and Harding",Logistics,Mid-Market,North America,United States,2025-11-18,,Professional,Monthly,Sofia Garcia,High,False,False,
CUST-0176,Schultz Ltd,Logistics,Enterprise,Europe,Germany,2026-04-04,,Enterprise,Annual,Avery Chen,Low,True,False,
CUST-0177,"Payne, Henry and Reyes",Media,SMB,North America,United States,2025-11-29,,Starter,Annual,Noah Williams,Low,False,False,
CUST-0178,Jackson PLC,Education,SMB,North America,Canada,2025-10-23,,Starter,Annual,Noah Williams,Medium,True,False,
CUST-0179,Jackson-Flowers,Healthcare,Enterprise,APAC,Australia,2025-04-07,,Enterprise,Annual,Jordan Lee,Low,False,False,
CUST-0180,"Russell, Greer and Curtis",Hospitality,Enterprise,North America,Canada,2024-08-12,,Enterprise,Annual,Jordan Lee,Medium,False,False,
CUST-0181,Gordon-Black,Professional Services,Mid-Market,North America,Canada,2025-04-16,2026-05-06,Professional,Monthly,Jordan Lee,Medium,False,False,
CUST-0182,Phillips Ltd,Logistics,SMB,Europe,France,2024-08-18,,Starter,Annual,Sofia Garcia,Low,False,False,2025-11-01
CUST-0183,"Franklin, Rhodes and Jackson",Media,SMB,North America,United States,2025-11-28,,Starter,Monthly,Noah Williams,Low,False,False,
CUST-0184,Curtis Ltd,Hospitality,SMB,North America,United States,2024-12-07,,Professional,Monthly,Jordan Lee,Medium,False,False,
CUST-0185,"Roberson, Ray and Santos",Hospitality,Mid-Market,Europe,United Kingdom,2024-03-13,,Professional,Monthly,Jordan Lee,Low,False,False,
CUST-0186,Jones and Sons,Healthcare,SMB,Europe,Netherlands,2025-03-16,,Professional,Annual,Sofia Garcia,Low,False,False,
CUST-0187,Ferguson-Moran,Technology,SMB,North America,Canada,2025-01-22,,Starter,Annual,Jordan Lee,High,False,False,
CUST-0188,Schroeder-King,Logistics,SMB,Europe,France,2025-05-11,,Starter,Annual,Avery Chen,Low,False,False,2025-11-01
CUST-0189,Landry Ltd,Manufacturing,SMB,Europe,United Kingdom,2026-04-06,,Starter,Monthly,Avery Chen,Low,False,False,
CUST-0190,Morris Inc,Retail,SMB,North America,Canada,2026-02-04,,Starter,Annual,Jordan Lee,Medium,True,False,
CUST-0191,Turner-Jackson,Technology,SMB,APAC,Australia,2025-10-20,,Starter,Monthly,Jordan Lee,Low,True,False,
CUST-0192,Wang Inc,Logistics,SMB,North America,Canada,2024-05-04,,Starter,Annual,Sofia Garcia,Low,False,False,2025-12-01
CUST-0193,Gray-Pacheco,Financial Services,Mid-Market,APAC,Singapore,2026-01-28,,Professional,Annual,Avery Chen,Low,False,False,
CUST-0194,"Fletcher, Mccarthy and Michael",Retail,Enterprise,APAC,Singapore,2024-10-25,,Enterprise,Monthly,Avery Chen,High,False,False,
CUST-0195,Jackson-Singleton,Professional Services,Enterprise,North America,United States,2024-04-19,,Enterprise,Annual,Maya Patel,Low,False,False,
CUST-0196,Vance-Davis,Education,Mid-Market,APAC,Australia,2025-01-27,,Professional,Annual,Jordan Lee,High,False,False,
CUST-0197,"Torres, Ford and Martinez",Healthcare,Enterprise,Europe,Netherlands,2024-12-28,,Enterprise,Annual,Avery Chen,Low,False,False,
CUST-0198,Guerra-Scott,Financial Services,SMB,APAC,India,2025-11-10,,Starter,Monthly,Maya Patel,Low,False,False,
CUST-0199,"Randolph, Williams and Montgomery",Manufacturing,Mid-Market,North America,United States,2024-12-05,,Professional,Monthly,Noah Williams,Low,False,False,
