month,entity_type,entity_name,metric_name,metric_value,rolling_mean,deviation_pct,severity
2025-02-01,feature,Workflow Automation,feature_cloud_cost_usd,1957.21,1782.79,0.0978,Medium
2025-02-01,service,AWS Lambda,cost_usd,4859.2,4573.89,0.0624,Medium
2025-02-01,service,AWS Step Functions,cost_usd,548.0,499.21,0.0977,Medium
2025-02-01,service,Amazon API Gateway,cost_usd,2627.48,2441.69,0.0761,Medium
2025-02-01,service,Amazon DynamoDB,cost_usd,2802.15,2523.64,0.1104,Medium
2025-02-01,service,Data Transfer,cost_usd,1160.92,1182.1,-0.0179,Medium
2025-01-01,feature,API Integration,feature_cloud_cost_usd,3054.38,,,Medium
2025-01-01,feature,Admin Controls,feature_cloud_cost_usd,2441.64,,,Medium
2025-01-01,feature,Dashboard Reporting,feature_cloud_cost_usd,10994.63,,,Medium
2025-01-01,feature,Data Export,feature_cloud_cost_usd,2742.81,,,Medium
2025-01-01,feature,File Storage,feature_cloud_cost_usd,2680.91,,,Medium
2025-01-01,feature,Team Collaboration,feature_cloud_cost_usd,2737.75,,,Medium
2025-01-01,feature,Workflow Automation,feature_cloud_cost_usd,1608.37,,,Medium
2025-01-01,service,AWS Lambda,cost_usd,4288.58,,,Medium
2025-01-01,service,AWS Step Functions,cost_usd,450.43,,,Medium
2025-01-01,service,AWS Support,cost_usd,2790.14,,,Medium
2025-01-01,service,Amazon API Gateway,cost_usd,2255.89,,,Medium
2025-01-01,service,Amazon Athena,cost_usd,5266.55,,,Medium
2025-01-01,service,Amazon CloudFront,cost_usd,2486.49,,,Medium
2025-01-01,service,Amazon CloudWatch,cost_usd,3653.95,,,Medium
2025-01-01,service,Amazon DynamoDB,cost_usd,2245.14,,,Medium
2025-01-01,service,Amazon EC2,cost_usd,9073.6,,,Medium
2025-01-01,service,Amazon QuickSight,cost_usd,4070.21,,,Medium
2025-01-01,service,Amazon RDS,cost_usd,7337.56,,,Medium
2025-01-01,service,Amazon S3,cost_usd,5121.89,,,Medium
2025-01-01,service,Data Transfer,cost_usd,1203.28,,,Medium
